description,subcategory,,a
"Compliments to Suranga Jayakody s456658     Suranga was observed to be very hard working, always ready to help and anticipate the needs of others   He made sure he was always available to take over and assist his colleagues in taking more workload than usual  He has volunteered to swap meal carts and old the meals in the ovens and made sure that the galley is  always cleared, and always went to the cabin with a tidy bag and made sure the cabin is clean   Volunteered to help take photos in the cabin even if he was not assigned to do so, and engaged with customers in the cabin and even enrolled passengers in skywards   Always had that contagious smile on  Very dedicated and passionate with his work",Equipment,,705
"ITEM REFUNDED AND THEN SALE MADE AGAIN   Whilst trying to make a sale to customer seated on 30K, Ms AlsaadGhada, customer had requested for item 2063 1 and wanted to purchase it  After completing the sale transaction, she informed CC Haneen, that the item she was under the impression that the item was AED 300 when in fact on the magazine the item was AED360  When she was shown on the magazine the correct price, she initially changed her mind and informed Haneen that she did not want the item  Hence, Haneen processed a refund on the HHC, but the customer informed her that she wanted the item  When she tried to carry out the sale again, the HHC would not pick up the same item back in her stock",Duty Free Items,,700
SWAPPED HAND HELD COMPUTERS    Operating crew from sector CKY DSS informed me that Handheld computers were swapped on the first sector DXB CKY to different duty free carts ie FC cart had JC Handheld computer and vice versa  Apparently the sales as well as transferring in and out were made on that sector and closing stocks from these sectors doesn't match with the actual number of the items in the drawers of the DF carts and the DF containers Therefore I decided to count all the items and write the opening stock on the ABC manual paperwork ABC No923362 for DF cart and DF containers DF579 I put the green copy of above mentioned paperwork to the black pouch including filled up closing stock,Equipment,,696
"Abusive behaviour toward crew members       GR2 Hani Staff  came to me and informed me that the passenger was shouting at him when he tried to re arrange the over head space items to make room for baggage  the passenger had 5 duty free bags spread over the hat rack  when Hani tried to rearrange the items, Mr Memon shouted at him, you better not touch that  Hani informed me that when he tried to explain to him that he is trying to make room for other customer's Mr Memon told Hani: This is not my problem  Later on, when Hani tried to stow the passenger's bag in the hat rack for take off the passenger shouted at him telling him that it will stay there and he wants to speak to his senior",Equipment,,692
"SEAT    Mrs Qoricha was arguing with the customer seated at 84A because she wanted to have 84A,B,C for herself  During the flight she woke up the customer seated at 84A several times  The crew went to check what was happening as the customers were arguing in a loud meaner and saw that the lady was seated in 84C with her legs extended and on top on the customer seated at 84A  He was very upset and the lady was just laughing and ignoring the crew or the customer when she was told  to move the legs from on top on his legs and   The lady seem not to understand the crew request so the cabin supervisor asked the customer seated at 85C to translate in Arabic   She finally put her legs down",DF not done,,691
"Off loaded due to not having insulin on board     During boarding Mr Ugot stated  I am not feeling well!  Mr Ugot stated  I feel weak because my sugar is low  Mr Ugot stated  I took my insulin 3 am manila time  I asked Mr Ugot if he has all his oral medication and insulin with him  Mr Ugot stated  that was my last insulin, I will just get one in London  Medical case no Was not provided by the medical ground support  Kindly refer to Medical incident report form no 337064 for further information  Boarding clearance given   06:32 am local time  Customer boarded   06:45 am  Medical ground support contacted   07:05 am  Security searchbaggage ID completed  07:25 am  Closed door   07:29 am",Duty Free Items,,691
"Customer not happy with the service on all his recent flights     During boarding, Mr Watral informed me that service on Emirates is becoming worse than 5 years ago, when he started flying with us  Upon asking him if something went wrong during our flight, he said that he is not happy to see full cabin, which is always happening on HAM flights and he was expecting to have a row of seats for himself, as Silver Skywards member  Customer was having alcohol odour when I was talking to him, but did not appear drunk (according to traffic light guidance)  Approximately 4hours into the flight, customer started showing signs of intoxication  He was repetitively knocking on occupied lavatory",Duty Free Items,,690
Good performance   A very calm and composed team member who would always pay the closest of attention to all the minute details for example asking for one more meal for the cart (to be kept on top to have the same number of meals to that of the trays) Very observant and would also correct her team members if there is a service shortfall and that too politely Very confident body language and also very sincere when dealing with customers Highly pro active that makes a flight super smoothexample anticipating needs for example was discussed that we have a WCMP customer and hence got a wheelchair form before as everyone had forgotten and ensured it was there without a delay,Duty Free Items,,677
"On EK414 DXB SYD customer purchased item 2058 1 by credit card The HH machine didn't work the first 5 attempts, showing an error and then restarting itself After 5 attempts the machine accepted the transaction When the customer wanted to purchase the second item 2058 1, the machine showed again the same error After 10 attempts the machine restarted itself and the purchase wasn't finalised The customer provided 4 different credit cards, all of them being denied when he tried to purchase the second item The receipt number for the accepted transaction is number 2, ISR no 118093770001, terminal no BA 01345 Visa card used for transaction is 4564727011573878, AED amount 180",Equipment,,676
"On EK414 DXB SYD customer purchased item 2058 1 by credit card The HH machine didn't work the first 5 attempts, showing an error and then restarting itself After 5 attempts the machine accepted the transaction When the customer wanted to purchase the second item 2058 1, the machine showed again the same error After 10 attempts the machine restarted itself and the purchase wasn't finalised The customer provided 4 different credit cards, all of them being denied when he tried to purchase the second item The receipt number for the accepted transaction is number 2, ISR no 118093770001, terminal no BA 01345 Visa card used for transaction is 4564727011573878, AED amount 180",Equipment,,676
"Appreciation for crew member Jeffrey Frizzon ObandoJeffrey is an extremely hard working crew member who goes that extra mile to help his colleagues He was observed taking care of the galley when the CSV was busy doing reports He took the initiative of preparing the carts and ensured that the galley was kept impeccable at all times In brevity, he represents the brand with a sense of pride and diligence Without a doubt , he is quite considerate towards his customers as well He ensures that all their requests are met and service was conducted up to standards It was a pleasure flying with him  I wish him all the very best in his career with Emirates and all his endeavours",Equipment,,676
"Crew was observed on the crew bus to the hotel wearing his under garment (shirt) only he had taken his work shirt off     While on the crew bus to the hotel in SEZ, Captain Brazil 349042 advised me crew member had removed his shirt  Upon advising crew member he was not allowed to remove his shirt, crewmember claimed he had done so before on several other flights, advising he has never been told off before  Tristan was accepting of feedback during the whole debriefing from Captain Brizel  Crew member apologised and mentioned he did not mean to offend anyone, if he did  Crew member was observed to be hard working during the flight and assisting crew in different cabins",Equipment,,675
"CUSTOMER FEEDBACK  During safety video Mr Giunta started talking to me  He said the safety video is too long and not as nice as on other airlines, he listed several airlines whose video he preferred including one from Lebanon  While I was on the jump seat waiting for take off I chatted to him again  He told me that he felt Emirates was not as good as it used to be especially in comparison with Singapore Airlines and Etihad  He said he found Economy crew rude and had been woken quite aggressively on one flight  He said he did not like Emirates food, it is always the same  He didn't eat on this flight  He commented that there were no longer DND stickers in headsets",Seals,,671
"Continuous Vomiting Age   85yrsMedical history   has colon cancer, with two catheters attached for bowelsMedication   was taking morphine tablets for painNo allergiesDuring cruise 1040hrs Mr Ali started vomiting continuously after approximately every five minutes Mr Ali had only a sandwich before that and nothing else apart from few sips of water He refused to eat anything He had taken his morphine before the flight which was approximately ten hours before the incidentAddress   Dibba , Fujairah,Dhadna, hse 700Tel   0507502001 Doctor on board contacted Dr Jasmine Sulaiman   seat 31DTexas licence   M2482Address   10 Dearberry The woodlands, TexasTel   8326932973",Equipment,,668
"NO CREDIT CARD MACHINE   CSV informed me that Mrs Merotto and her colleague wanted to upgrade to JC   She brought all the relevant documents for upgrade and customer was informed about the price of AED2200 each   Due to time management I could only do the paperwork after takeoff and meanwhile customers were brought to JC and meals requested to catering who quickly brought 2 extra meals for them   After take off we checked everywhere for the credit card machine but could not find it   Crew members Saadeddine El Barazi staff number 412645, Maher Marzouki staff number 433272 and myself checked in all the doghouses and the cupboards by LR2 but did not find it",Equipment,,663
"Crew performance appreciatedMs Paramita Bhatt on 11E was travelling with her son Mr Fenil Bhatt on 11FPrior to landing Ms Bhatt commended the performance of crew members Nidhal Mhedhbi  426141 and Priyanka Chakraborty  436895Ms Bhatt stated that it was her best flight ever although she has flown on many other airlines from USA to INDIA, they never experienced the same level of customer service orientation from the crew She described her experience was made memorable by the above mentioned crew members by interacting with them in a friendly manner, suggesting the new selection of cocktails and taking pictures in the JC loungeThey were made to feel at home",Duty Free Items,,662
"Janezcka's business class colleagues approached me at the end of the flight to commend her work ethic and team spirit  Just before her sign in, Jane had a last minute swap of duty from Shanghai to San Francisco, colleagues said throughout the trip she kept a positive spirit and never once spoke negatively about the fostering change  In addition to this they commented throughout the trip, as lounge operator, she was extremely helpful in the galley and cabin Offering to mix all the cocktails for the beverage services, organizing and operating the galley when the galley operator was on break and volunteering to assist whenever she saw anyone needed support",Duty Free Items,,661
"There were 2 customers want to buy the same item the first one was completely sold from my cart So, I transferred the other one from cart152 of crew442350 The transfer in and out receipts were printed and completed The second customer paid by credit card Card was swiped The slip was printed out and signed as payment evidence But, the receipts for customer and myself to keep were not printed out After that, I checked in the sale summary The total sale showed only 1 sale instead of 2 sale We could not check if the money was deducted from the second customer's card As I have the signed slip as a payment evidence, the item was gave away to the customer",Equipment,,656
"Service recovery upgrade one hour and half before landing     4 hours into the flight, crew member called me for screen reset of 17C(Original seat)  Few more IFE and gearbox rests were done however it failed to work  Customer claimed that she needed on board wheelchair to go to lavatory however her call bell function was inoperative as well  Customer was not aware that her own wheel chair was put in the cargo, she claimed that she told ground staff few times to put it in the cabin  When she found out that her wheelchair was not on board, customer was extremely upset and cried  Customer claimed that she only has 50 minutes until her next departure",Duty Free Items,,654
"CUSTOMER UNHAPPY    During boarding, during the seat introduction, the crew member looking after Mr Barachy observed that he appeared reluctant to engage in conversation and seemed stressed The crew member discovered that him and his family were moving to China  After the safety video his IFE screen remained with the message 'PA IN PROGRESS' It finally went after resetting the IFE screen twice and the seat box once   During the flight, at the end of the lmch service, Mr Barachy requested to have a second and third desert, to which the crew member happily got for him however was unable to give him his choice of  fruit as there was no more loaded",Duty Free Items,,652
"Item number 2097 1 Customer was unable to remove the cards from the wallet despite inserting the recommended maximum number of cards I had to forcibly remove the item This is not the first time this has occurred, it is the 3rd such incidence that I have had to refund a customer for the same issue I have noticed that this wallet is not designed for credit cards that have embossed numbers I have also noticed that it is common in Germany not to have embossed numbers on the cards as such 5 cards would adequately fit within this wallet Perhaps a different design would be better suited for sale as the design itself has proved popular with customers",Duty Free Items,,650
"MR MAYADAS PURCHASED AN ITEM AND FOUND THAT IT WAS DEFECTIVE   Mr Mayadas purchased the Item 2097 01 (DF 120) TRU VIRTU Click and Slide for the amount of 81, from crew member Michael Alelo (staff number 410069)   After paying for the item, he tried using and found that it was faulty and unusable   He had asked the crew member if it was possible to refund or have the same item replaced   According to Mr Mayadas this is very unlikely of Emirates to have a solution as such, and he stated that this year alone, he had paid for 10000 for Emirates Airline tickets   Contact details are as follows: email add: jayantmayadas@gmailcom phone: 248 2715000",Duty Free Items,,649
"Upset that crew asked him to wait for 5 mins for tray clearance   During hot beverages service by hand, MrFomin asked me who was doing coffee service to take the tray for him and customers next to him at 54AB because he wants to go to the toilet  I politely requested him to wait for 5 mins until we completed the tea coffee service  Before taking any clearance carts out in the cabin, the crew came back to clear his tray by hand and customer at 54B (2 trays) as customer at 54C was still drinking last sip of coffee  The last tray at 54C was on the table waiting to be cleared , when MrFomin stated that he waited for too long and he was not happy",Seals,,649
"HHC number 2121409 DF Cart 1012 ISR NUMBER 118023900001 Mr Khalifa wanted to purchase few items from Duty Free, he wanted to pay by credit card Upon the payment the HHC printed Merchant's copy with information that the transaction has been accepted, but the customer's copy has never been printed and HHC was still showing that the payment is needed, refund could not be done and HHC was showing that the items are still in stock Mr Khalifa was asked to pay for the items one more time, this time none of his credit cards could be read by the HHC DF Operator on RHS was asked to assist Mr Khalifa with a purchase Witness Zuzana Pelikanova s378692",Equipment,,646
"Customer's Feed Back  After I offered the menu, customer ordered for the cucumber cocktail and nuts, I came to know later on that he end up drinking the same cocktail the whole flight  Customer had 8 glasses of the same drink When I inquired about the cocktail, he said it was very refreshing most especially when you are flying For his lunch customer ordered for the following:  Canapes, mezze, salad, king fish and specially mentioned no bread basket Same was served to the customer during clearance, when I inquired how was his meal?  Customer  commented that he really enjoyed the king fish very much Customer said thank you before leaving us",Equipment,,646
"Ms Gottlieb appeared annoyed while I was greeting farewell to her and her husband      During boarding, I assisted Ms Gottlieb in stowing her large size hand carry in FC seat 4A due to there was no space in the hatracks around her seat I greeted Ms Gottlieb straight after taking off by introducing myself to her, and yet her husband, Mr Gottlieb (Platinum HVC) had already fallen asleep They both woke up when the seat belt sign turned on for landing While I was checking on Mr Gottlieb if he was fine and if he wants a glass of orange juice, Ms Gottlieb got annoyed by saying they know everything and they will let me know if they need anything",DF not done,,646
"Duty Free containers not checked during Safety and Security searches on ground    When preparing to do Duty free in the cabin, crew claimed he was unable to find 01 of his DF containers  He claimed he had searched all galleys on board for his container and did not locate it  When asked where he found the containers to perform his on ground security search of these, he was unable to give a clear response, thus concluding he did not perform a security search of his DF containers  Crew confirmed safety and security check complete when UD checks collected by CSV prior to customer boarding; no mention of him not able to locate his containers",Equipment,,644
Passenger upset as crew locked lavatory next to crew rest     Due to light passenger load in Ycl we decided to lock lavatory 5MJ (which id adjacent to the curtained rest) as the constant flushing was disturbing crew on rest  Other 03 lavatories in the aft section of Ycl were left for passenger use although hardly used since most customs slept  A female customer whose seat could not be identified became upset upon observing a crew member checking the lavatory (for safety) the locking it   Customer started banging on the locked door and refused to use two of the other lavatories which were vacant and no other customers waiting to use them,Duty Free Items,,644
"CUSTOMER COMPLAIN ABOUT KIDS CRYING IN THE CABIN  Customer came into the galley started pulling her hair and spoke in a loud voice and stated that  I am going to pull my hair, I have not had even half an hour of sleep because this child keeps crying in the cabin She stated that the Parents should do something about it, like take the child away from that area or put the child to sleep Customer claimed she has brought up 2 children and they never used to behave like this Customer was upset about the fact that there was 3 children in her area, and that at some point there was always on child awake and crying and she could not get any rest",Duty Free Items,,643
"Dear sir or Mrs, My name in Nenad Jovicin 451828 position R3, upon counting duty free items from cart DF1160 I realised that in drawer number 04 there was 13 items instead of 14, in drawer number 05 there was 16 items instead of 18, in drawer number 06 there was 22 items instead of 19 I think the items were misplaced but because some of the items were missing their duty free codes and the list on the drawers wasn't matching the duty free machine list, we couldn't figure out which of the items are misplaced and which are actually missing My opening stock and counting witnesses were Paola Di Francesco 423014 and Denisa Cechovska 452691",Duty Free Items,,641
"FC FEEDBACK   Dr Ibraheem was welcomed back and escorted to his suite by Rina   He wanted to upgrade two of his friends but decided against it   He joked about downgrading himself and asked if he upgraded one of his friends, would his other friend be upgraded on a complimentary basis   He relaxed in his suite and had a drink after take off   He ate hot canapés and Zuriban Chicken 1 hour 15 mins before landing    He continued to relax in his suite   When disembarking he asked if his friends could join him in the FC bus or he can join them at the airport   He said he will take the JC bus with his friends   He disembarked as per normal",Duty Free Items,,641
"Customer Was Mistakenly Charged Wrong Item   Mr Safwath Hameed requested for item number 1881, Victoria secrets lip plumper price 70aed   Item was misplaced in the cart so I Transfer it in from the other duty free operator, thinking I did not have it   Gave item to the customer he paid by credit card, sign it for me and he disembarked   On the next sector MLE DXB, I found out that I charged him by mistake item number 2172 Tiffany& co price 450ead   Item 2172 shows on closing stock that is been sold but is still on the cart   Item 1881 shows on closing stock 3 but there is actually 2, 1 was sold to the customer   DF cart number 239",Duty Free Items,,638
"High performance     Khuan Chin Tan showed a very high level of performance  He was the mid galley operator and had good time management skill; he was always a step ahead  Khuan Chin Tan gave respect to everyone and was available in the cabin all the time  While being on ground in Delhi, he came to the aft galley and helped crew in loading meals in the ovens after finishing loading meals in the mid galley  He put his experience in practice which helped to have a smooth service flow  Khuan Chin Tan was paying attention to details and was giving good ideas to his colleagues on how to achieve the desired point in an efficient way",Duty Free Items,,634
"Customer complaint due to two of his children getting their CHML but the 3rd child had to wait a while      Customer was angry thinking that we did not have a CHML for his daughter, we explained that the trays are still being handed out in the cabin and to just wait a few minutes   We had 76 CHML's loaded in different carts which meant that it took a little longer than usual to deliver the trays, along with the seat belt sign being on with it being turbulent it took a while longer  Customer understood once I had explained to him, he was just upset that his daughter was unhappy that her sisters had got their food and she hadn't",DF not done,,634
"Missing Items and wrong seals   Duty free cart DF038 had opening seals not matching the machine seals numbers  Cart seals A017208370 A017208371 A017208372 and Machine numbers :2023564796, 2023564797, 2023564798  Missing items :1692 Bella Bangles by Fervour 2103 Michael Koru watch set 2100 Coca cola lip smacker 2186 Kiel's Avocado eye treat 2137 Emirates dual USB charger 2171 Lady Million lucky EDP80 2179 1 million lucky EDT 100ml 2034 Buckley London XO Bracel 1900 Starwalker urban speed 2180 Y EDT 60ml by Yves Saint L 1997 watch and jewellery set 2135 Michael Koru White Pearl L 2092 Lacombe Oud Bouquet 2064Aviator Smart Watch",Seals,,633
Customer unhappy with ground staff   Claimed they were rude and unhelpful    Mr Omer was visibly angry when he boarded the AC with a group of 16 other family members  They were transiting from Jeddah and the flight was delayed Hence they were rushed to the aircraft  Mr Omer claimed the ground staff was extremely rude and unhelpful as he tried to help his daughter who was staying in Dubai with the infant Mr Omer wanted assistance as she was alone and had baggage in her hand  Mr Omer claimed the lady at the counter asked for money for assistance!  Mr Omer said he will be contacting his lawyers and taking the matter further,Equipment,,628
"CREW COMPLIMENTS    Masoud on both sectors to and from Adelaide displayed a good leadership style and did to with effortless confidence He assisted in both Business cabin and economy during all the stages of the service Business class team mentioned to me that he was working in business class and I found it surprising as I thought he was only working in economy, he was infact working in both cabins He has a professional calmness in his nature that affects the rest of the team positively, which leads to a productive good working environment He interacted with not only the high valued customers but all customers alike",Seals,,623
"The item number 2142 (swarovski crystalline pen )has been sold from DF1020 fromIts original drawer number 2However it shows that it has been transfered out from DF1019 but it is still located in DF1019(drawer number 2)So it will be showing 1 piece in DF1020,but it will be in DF1019Second item 1588(crystal collection versace)drawer 6 was sold from its original drawer plus 2of the same items were transferred in from DF862 and DF1019All those 3items were sold from DF1020In a closing summary it was still showing that I should have one Unfortunately I dont as it was soldWitnesses:449509 BINGJING ZHANG 402115 YUNHUA JI",Duty Free Items,,620
"SCREEN DOES NOT TURN OFF      Mr Freeman complained that he cannot turn his screen off It turns off however after a few seconds, it turns on again thus distracting him from reading his book and sleeping After the first seat box reset, I was able to turn off the screen thru the remote control and it stayed off Mr Freeman thanked me and went to sleep 2 hours before landing, customer complained and said that the screen was broken again Resets this time did not work Customer said I'll just write to Emirates about it But thank you for trying to fix the problem Mr Freeman disembarked thanking the crew for their effort",Duty Free Items,,619
"Duty free on right side of the aircraft was not done This was due to the fact that upon opening the Cart number 633, Crew member Ivana Kraljik 394441 saw a note from previous Duty free operator Wendy Wong 264994 that the HHC had not worked on the last sector The HHC serial number was EK00710 The message said that the HHC SD card was INOP Crew wendy had not been able to print the opening stock There was no opening stock or closing stock recorded manually on the DF bar paperwork The only inputs were what had actually been sold This is due to HHC not having the official opening stock when she ( Wendy) opened it",Equipment,,615
Happy IO Customer Experience Personally welcomed Mr Al Yaqout during boarding and escorted him to his seat All the crew members were briefed about the customer and asked to take special care of the customer All the preferred meal and drink choices were delivered to the customer during the flight As the reading light at 6B was inoperative the customer happily shifted to 6A which was kept vacant for  the customer by the ground staff After the service personally went and took customer feedback and he was happy with the service delivered After landing into DXB personally escorted the customer to the ground staff,Duty Free Items,,615
"CUSTOMER BECAME INTOXICATED DURING THE FLIGHT  Mr Stanley, during the half of the flight became very agitated and started talking very loud  The customers around Mr Stanley were very upset about his behaviour and complained to the cabin crew about the situation  After analysing the situation and observing his way of acting loud and aggressive, moving in slow motion and talking without making sense asking for more alcohol, I have decided to stop offering alcohol to the customer  The customers behaviour was analysed and he was between the yellow and red traffic light, but his request for alcohol was increasing",Seals,,615
"UPSET FOR BOARDING PASS   Mr Fugiglando was upset as we had to take his boarding pass on ground in Rio for ground staff to double check load of customers as the head count was incorrect for several times  All on board customers were giving their boarding passes, not just Mr Fugigilando  He approached crew member Nicholas, and stated its company's fault and that this never happened to him before, and he flew seven times this sector   He was also walking non stop and moving from business class to economy class during head count despite of several PA's made for customers to remain seated at their original seats",Seals,,615
Feed back regarding crew sickness after LRV flights  Crew must changed to Pyjamas using CRC in order to maintain I&U standard   Pyjamas are from very light fabric and not warm enough generally    FD crew gets matrass and duvet for their break however rest of the team they get either the old JC or sometime( like today ) old YC blankets    Standard temperature on CRC 21C which mostly changes to 1920c due to FD feeling warm using duvet     Only in Boeing 777 FD and Cabin crew are sharing same bunk so the temperature affect crew fitnesssickness on most of LRV according to my experience and perhaps the statistic,Duty Free Items,,614
"Customer claimed he was served Alcohol During the Light Bite service customer ordered for Lamb Pie with Ginger Ale with ice, after it was served customer claimed that the drink was not ginger ale but it was some kind of alcohol that was served to him Crew informed that it was ginger ale and it was directly poured out of the can, however crew removed the drinks and served ginger ale can with ice on the side Both 7E and 7F insisted and claimed it was not ginger ale After serving the can customer did not comment or complained anything until landing Both customers was noticed smiling while leaving the aircraft",Equipment,,613
"Duty free items missing  DF 489   When doing security search, the duty free cart had the seal present but broken All three seals matched the ones from the HHC Crew member Thanyawan, staff no437096, witnessed when the cart was taken out of its stowage with the seal broken  After counting, the following items were missing from DF 489 cart and containers:  drawer 4: item 2090   drawer 5: item 1922 and item 2063  drawer6: item 237 (one piece)  drawer 7: item 2023 and item 2077  drawer 9: item 2144  drawer 10: item 1942, item 2145, item 2118 and item 2143  drawer11: item 2158 (two pieces)  drawer 12: item 1573",Duty Free Items,,612
"Duty free items missing  DF 489   When doing security search, the duty free cart had the seal present but broken All three seals matched the ones from the HHC Crew member Thanyawan, staff no437096, witnessed when the cart was taken out of its stowage with the seal broken  After counting, the following items were missing from DF 489 cart and containers:  drawer 4: item 2090   drawer 5: item 1922 and item 2063  drawer6: item 237 (one piece)  drawer 7: item 2023 and item 2077  drawer 9: item 2144  drawer 10: item 1942, item 2145, item 2118 and item 2143  drawer11: item 2158 (two pieces)  drawer 12: item 1573",Duty Free Items,,612
"Complaint about the absence of the lounge in the airport Customer was very upset that there was no lounge in the airport Customer said , Emirates should have informed him about the absence of the lounge Customer claimed he was given 40 dollars instead , which is  Not even enough to buy a sandwich in the airport  Customer seemed very annoyed ,when crew asked him about his order for breakfast He said  Why can't you ask me later  When crew were using the MOD for taking orders he said Are you playing games  And was very annoyed againHe also commented  Serving dinner at midnight , very nice  in a sarcastic way",Duty Free Items,,612
"First   the seals number were not in sequence DF card number 129 had seals of numbers A015353771  A015353773  A015353774 Second   On the top of the DF card I found the spare battery to HHC Inside the card I had already correct number of TWO batteries (one in HHC, one in the pouch) Third   I couldn't start the HHC I tried all of the three batteries (the one on TOP and two inside) and yet I coudn't switch it on Because of the third problem I couldn't count my DF content and I couldn't check the seals number THe HHC didn't even allow me to put my crew ID   it turned off immediately after pressing the button",DF not done,,611
"On EK 381 from HKG to DXB on 04 May 2018, I am doing duty free on the left hand side My DF cart number is DF 905 My staff number is 454062 The handheld computer is not working and the previous crew left me a note about it When I follow the paperwork and do the counting, I found out there are seven items missing 2149 cabeau air evolution blue 1524 aviator world time pilot watch 2144 Daniel Wellington classic blk Sheffield watch 2145 Daniel Wellington classic petite Melrose watch 1946 kyutec Kolki child guard phone watch 2143 Swarovski giggles pendant key 1973 stroili Italian jewels mahe cuff &ring",Duty Free Items,,603
CUSTOMER COMPLAINT REGUARDING CHECK IN STAFF KHICustomer complained that check in staff 'Saman' was rude and incompetent She said her check in at the JC check in counter took 1hour She said she paid for 4 seats however the check in staff were arguing that she only had 2 seats and 2 infant seatsShe believes her luggage was incorrectly calculated and she was charged 25Kg in overweight luggageBy the time she completed check in she was last to board and had to board at L2 door behind YC as L1 was closedShe would like a reply and refund for the over charged baggageEmail as follows;aasmakhan@hotmailcom,Special Offers,,603
"Customer's IFE didn't work, screen was freezing and movies want play Customer complained that this is happening very often on EK flights and it's not only that  Customer pointed out that service all together declined  He said that food s not good quality any more, aircrafts are worn out and specially on to days flight everything is faulty, toiletries drawers in lavatory falling out, lavatory door jamming, toiletry bag not provided  He said that service is ridicules as soon as the breakfast is finished the lunch starts  He said that all together experience is not very good for very long time now",Special Offers,,601
"customer wanted an upgrade, claimed that the check in staff told her to ask the crew     on boarding, she asked for an upgrade, said that the check in staff told her to ask the crew member on board who will do it for her  she said she's a gold skywards member and every time, they upgrade her  when informed of the upgrade policy and procedure, she insisted that it was the check in staff who told her,   she asked how much is it to upgrade, and to make sure that I'm giving her the correct information  when shown her mileage and the upgrade price, she didn't say anything and walked back to her seat",Paper Work,,601
Customer Feedback     During boarding Mr Raffaelli informed us that he was upset  began to complain to us He claimed that  the ground staff did not give him the window seat that he originally requested  He also claimed airport lounge was very dirty  The ticket was too expensive compared to the other airlines  Boarding by bus is unacceptable and he has only seen it in 2nd world countries like Philippines  He further was upset by the fact that there was no upper deck boarding and that he had to climb the forward stairs  Mr Raffaelli stated that he would write a formal complaint after the flight,Duty Free Items,,599
"On the flight from LGW to DXB, I was ML3 the Duty Free operator I had no sales on this flight I did the count on my containers and cart and everything was correct My colleague told me when we already arrived at the HQ that she thinks we had swapped the carts This means that the seal numbers of that cart might not match with the seals supposed to be on he containers She was operating as Duty Free operator on the upper deck economy My colleague’s name is Farzana Dahoe We tried to ask the Cabin Supervisors to write a VR, but they already left Thank you for understanding, Emmy Knezevic 448925",Seals,,597
"Customers unhappy with wait for service  Several customers came to galley saying they were waiting too long for service They said that the flight was delayed and there is no reason they should be waiting for food after take off The majority of them said that the meals should have been heated on ground so there is no delay once airborne Additionally, several children were seated in the aft of economy The children cried for approximately 2 hours starting from cabin preparation into the service flow Customers expressed dissatisfaction with the fact that they were seated close to the children",Duty Free Items,,595
"Spilled soup on the tray linen    During dinner service, while placing down the meal tray in front of the customer, soup spilled from bowl onto the tray linen  Customer refused a new tray that I offered to bring as replacement  While leaving towards the galley, I turned around and observed customer taking a photo of the tray  During wine service, after I repeated possibility of bringing a new tray to customer, she smiled and stated: It is fine  Customer seemed satisfied with the service  Customer enjoyed IFE system until she fell asleep  Customer confirmed that she enjoyed her flight",Equipment,,590
"Customer upset because he couldn't coma back to his seat    Mr Imazato wen to the toilet located on L3 door  Customer wanted to coma back to his seat after he finished in the toilet  While in the service, a meal cart in the cabin pushed by Karim 450151 didn't allowed Mr Imazato to come back to his seat  Mr Imazato never asked the crew Karim to let him pass  When I was going to double end the meal cart with Karim, Mr Imazato stated  I been waiting for 30 here and he knows that I'm here and he didn't let me pass  Karim stated that the customer was stretching and never asked him to move",Duty Free Items,,590
"Elitepad screen cracked   defective Business Class galley tablet holder  After take off, in preparation for breakfast service, l inserted my KIS tablet to the left hand side galley tablet holder, however, the tablet's screen cracked there after on the lower left side The crack also extended across the face of the tablet  Further investigation of the incident indicated that the KIS tablet holder's bracket had excessively carved inwards leading to pressure on the inserted tablet and subsequently cracking of the screen  The tablet was however operational for the remainder of the flight",Special Offers,,589
Customer feedback based on their inflight experience  Each customer was greeted upon boarding and they were escorted to their suites  Customers were upgraded to FC so for some of them it was their first time to fly in FC Very impressed with the suite facilities and the seat comfort Explained the suite facilities to those customers who were unfamiliar All customers except for 2 dined after take off Monitored the customers to ensure their needs were met throughout the flight Customers were thanked for flying with Emirates Overall they were very impressed with their inflight experience,Duty Free Targets,,589
"Compensation for personal item damaged    During the light bites service, the aircraft experienced moderate turbulence where crew instructed by the Captain to take seats  Crew accidentally spilled water on Mr Daly due to the unexpected turbulence  Customer claimed that his headphones were damaged because of the water spillage  Mr Daly claimed compensation for this damaged headphones  Customers details : stevenmassa@Bigpondcom                                  6 Fitzroy st, Laverton  Customer was not upset about the incident and was aware that it was an accident due to the turbulence",Duty Free Items,,588
"Customer requested cosmetics refund              Mrs Mifsud asked to exchange item 2081 8 Benefit Lips Kit, claiming the item was defective (broken on the tip) from DF operator GR1 Emiliya Dzmitriyeva (417764)   Emiliya explained to the customer the no exchange policy for cosmetic items, and advised to contact CASA for the claim   Mrs Mifsud was upset with the policy and was shouting at Emiliya   After I addressed the customer in person and explained about our procedure, she told me she understood the policy but was not happy   Customer left the aircraft with no further comments",Duty Free Items,,585
"HHC And dc carts not matching    crew Anna 454289 and crew Goran 426127 realised their duty free cart and their HHC computers are not matching (there was a message from the previous crew stating the same)   crew Anna 454289 in the df cart number 153 had a HHC with a df number 154the opening stock showed the drawer nr 12 but there was no drawer nr 12 Instead of drawer nr 12 it was drawer 11 From the drawer nr 11,crew Goran 426127 made a sale of product 2134 Transferring was not possible as his cart and HHC were showing different numbers  DF 153 drawer number 8, item 1934 MISSING",Equipment,,584
